canal,intensidade_mK,sigma_mK
1,0.25,1.0
2,-0.19,1.0
3,0.25,1.0
4,-0.56,1.0
5,-0.41,1.0
6,-0.94,1.0
7,0.84,1.0
8,-0.3,1.0
9,-2.06,1.0
10,-1.39,1.0
11,0.07,1.0
12,1.8,1.0
13,-1.02,1.0
14,-0.46,1.0
15,0.29,1.0
16,-0.36,1.0
17,-0.42,1.0
18,1.43,1.0
19,-1.33,1.0
20,0.06,1.0
21,0.82,1.0
22,0.42,1.0
23,3.76,1.0
24,1.1,1.0
25,1.31,1.0
26,1.86,1.0
27,0.32,1.0
28,-1.14,1.0
29,1.24,1.0
30,-0.29,1.0
31,0.02,1.0
32,-1.52,1.0
33,0.44,1.0
34,0.05,1.0
35,0.59,1.0
36,0.94,1.0
37,-0.1,1.0
38,0.57,1.0
39,0.4,1.0
40,-0.97,1.0
41,2.2,1.0
42,0.15,1.0
43,-0.37,1.0
44,-0.67,1.0
45,-0.05,1.0
46,-0.2,1.0
47,0.65,1.0
48,-1.24,1.0
49,-1.56,1.0
50,-0.64,1.0
51,0.48,1.0
52,1.79,1.0
53,0.07,1.0
54,1.3,1.0
55,0.29,1.0
56,-0.23,1.0
57,-0.5,1.0
58,0.93,1.0
59,-1.28,1.0
60,-1.98,1.0
61,1.85,1.0
62,0.89,1.0
63,0.65,1.0
64,0.28,1.0
